1993-01-01	31283
1993-02-01	30264
1993-03-01	33794
1993-04-01	37257
1993-05-01	40124
1993-06-01	43842
1993-07-01	44682
1993-08-01	46866
1993-09-01	47755
1993-10-01	45361
1993-11-01	44786
1993-12-01	39535
1994-01-01	34917
1994-02-01	33222
1994-03-01	38215
1994-04-01	41754
1994-05-01	45711
1994-06-01	49032
1994-07-01	49545
1994-08-01	51516
1994-09-01	51718
1994-10-01	49135
1994-11-01	46719
1994-12-01	40406
1995-01-01	37206
1995-02-01	35250
1995-03-01	40016
1995-04-01	42824
1995-05-01	46615
1995-06-01	49804
1995-07-01	50219
1995-08-01	52628
1995-09-01	53028
1995-10-01	51372
1995-11-01	48163
1995-12-01	41542
1996-01-01	39356
1996-02-01	37391
1996-03-01	42052
1996-04-01	46865
1996-05-01	51598
1996-06-01	54703
1996-07-01	55430
1996-08-01	57488
1996-09-01	58544
1996-10-01	57456
1996-11-01	53498
1996-12-01	45313
1997-01-01	41882
1997-02-01	40788
1997-03-01	45704
1997-04-01	48998
1997-05-01	53617
1997-06-01	56977
1997-07-01	58826
1997-08-01	60682
1997-09-01	61323
1997-10-01	60053
1997-11-01	54968
1997-12-01	48031
1998-01-01	44409
1998-02-01	43150
1998-03-01	49602
1998-04-01	54017
1998-05-01	57723
1998-06-01	64393
1998-07-01	64381
1998-08-01	66137
1998-09-01	66544
1998-10-01	64600
1998-11-01	60469
1998-12-01	53095
1999-01-01	48746
1999-02-01	48824
1999-03-01	55607
1999-04-01	58654
1999-05-01	62209
1999-06-01	67545
1999-07-01	68522
1999-08-01	69975
1999-09-01	70034
1999-10-01	68669
1999-11-01	66684
1999-12-01	59082
2000-01-01	53782
2000-02-01	53993
2000-03-01	61295
2000-04-01	64524
2000-05-01	69253
2000-06-01	72715
2000-07-01	71774
2000-08-01	76132
2000-09-01	75153
2000-10-01	73550
2000-11-01	69677
2000-12-01	60910
2016-01-01	56855
2016-02-01	55529
2016-03-01	62808
2016-04-01	67787
2016-05-01	72920
2016-06-01	78004
2016-07-01	78281
2016-08-01	79916
2016-09-01	76605
2016-10-01	76302
2016-11-01	71543
2016-12-01	63697
2016-01-02	59516
2016-02-02	58588
2016-03-02	63782
2016-04-02	69504
2016-05-02	73384
2016-06-02	77182
2016-07-02	78863
2016-08-02	79460
2016-09-02	76542
2016-10-02	75710
2016-11-02	71362
2016-12-02	63984
2016-01-03	59877
2016-02-03	58526
2016-03-03	64506
2016-04-03	69638
2016-05-03	74473
2016-06-03	80377
2016-07-03	82971
2016-08-03	85191
2016-09-03	83841
2016-10-03	83133
2016-11-03	77915
2016-12-03	71050
2016-01-04	64934
2016-02-04	64138
2016-03-04	73238
2016-04-04	78354
2016-05-04	83736
2016-06-04	89932
2016-07-04	93614
2016-08-04	96164
2016-09-04	92538
2016-10-04	90582
2016-11-04	86394
2016-12-04	77733
2016-01-05	72458
2016-02-05	73094
2016-03-05	81791
2016-04-05	88032
2016-05-05	93704
2016-06-05	100678
2016-07-05	103875
2016-08-05	107453
2016-09-05	104682
2016-10-05	104039
2016-11-05	98348
2016-12-05	88657
2016-01-06	82400
2016-02-06	82381
2016-03-06	92354
2016-04-06	97056
2016-05-06	101862
2016-06-06	106777
2016-07-06	107150
2016-08-06	108598
2016-09-06	103102
2016-10-06	100721
2016-11-06	93850
2016-12-06	85031
2016-01-07	79009
2016-02-07	78501
2016-03-07	87421
2016-04-07	93644
2016-05-07	99690
2016-06-07	105020
2016-07-07	106779
2016-08-07	109573
2016-09-07	104744
2016-10-07	104313
2016-11-07	94934
2016-12-07	84325
2016-01-08	78039
2016-02-08	77921
2016-03-08	83384
2016-04-08	89092
2016-05-08	93316
2016-06-08	97882
2016-07-08	100234
2016-08-08	100366
2016-09-08	97303
2016-10-08	96609
2016-11-08	86093
2016-12-08	77112
2016-01-09	67301
2016-02-09	67030
2016-03-09	71985
2016-04-09	75043
2016-05-09	76661
2016-06-09	82089
2016-07-09	83885
2016-08-09	84426
2016-09-09	82037
2016-10-09	79952
2016-11-09	71527
2016-12-09	64608
2016-01-10	55362
2016-02-10	54986
2016-03-10	60990
2016-04-10	66565
2016-05-10	68903
2016-06-10	74806
2016-07-10	73918
2016-08-10	76554
2016-09-10	75818
2016-10-10	73386
2016-11-10	67318
2016-12-10	60648
2016-01-11	50973
2016-02-11	51017
2016-03-11	57148
2016-04-11	61590
2016-05-11	65430
2016-06-11	72495
2016-07-11	72253
2016-08-11	76986
2016-09-11	75871
2016-10-11	73783
2016-11-11	68203
2016-12-11	62582
2016-01-12	56608
2016-02-12	56994
2016-03-12	61803
2016-04-12	67002
2016-05-12	72228
2016-06-12	77580
2016-07-12	78305
2016-08-12	81152
2016-09-12	79404
2016-10-12	80287
2016-11-12	73071
2016-12-12	66022
2016-01-13	58821
2016-02-13	58898
2016-03-13	64190
2016-04-13	70601
2016-05-13	75775
2016-06-13	80997
2016-07-13	84346
2016-08-13	86776
2016-09-13	85825
2016-10-13	86551
2016-11-13	79695
2016-12-13	73876
2016-01-14	67391
2016-02-14	66916
2016-03-14	73899
2016-04-14	80749
2016-05-14	85599
2016-06-14	90712
2016-07-14	92585
2016-08-14	93261
2016-09-14	93193
2016-10-14	94888
2016-11-14	86262
2016-12-14	80174
2016-01-15	71447
2016-02-15	71159
2016-03-15	79751
2016-04-15	88308
2016-05-15	94756
2016-06-15	102716
2016-07-15	104958
2016-08-15	106856
2016-09-15	106868
2016-10-15	103844
2016-11-15	94876
2016-12-15	86894
2016-01-16	78610
2016-02-16	79903
2016-03-16	88984
2016-04-16	92208
2016-05-16	97620
2016-06-16	105130
2016-07-16	106633
2016-08-16	109097
2016-09-16	107702
2016-10-16	106301
